topic_num,name,meaning,keywords
0,buttons,various buttons e.g. power and volume control,"0.098*""volume"" + 0.096*""button"" + 0.055*""control"" + 0.030*""device"" + 0.025*""press"" + 0.017*""side"" + 0.015*""change"" + 0.014*""function"" + 0.014*""radio"" + 0.013*""clip"""
2,fit_head,"how the headeset fit on one's head and ear, such as with glasses","0.067*""wear"" + 0.066*""head"" + 0.048*""set"" + 0.040*""comfortable"" + 0.036*""big"" + 0.033*""feel"" + 0.028*""fit"" + 0.026*""find"" + 0.022*""ear"" + 0.021*""uncomfortable"""
3,noise_cancellation,"whether the people you are talking to can hear background noise, especially in cars, whether has noise cancellation feature","0.122*""hear"" + 0.088*""noise"" + 0.046*""people"" + 0.044*""loud"" + 0.043*""talk"" + 0.033*""call"" + 0.031*""clear"" + 0.030*""end"" + 0.030*""car"" + 0.027*""person"""
4,misc_issues_problems,miscellaneous problems and issues,"0.212*""work"" + 0.074*""issue"" + 0.063*""problem"" + 0.050*""pair"" + 0.036*""fine"" + 0.035*""samsung"" + 0.025*""great"" + 0.024*""start"" + 0.023*""galaxy"" + 0.021*""phone"""
5,cheap,cheaply priced headsets (positive: good quality for the price; negative: breaks easy don't buy),"0.097*""buy"" + 0.081*""price"" + 0.046*""thing"" + 0.045*""quality"" + 0.033*""bt"" + 0.031*""lot"" + 0.029*""cheap"" + 0.025*""lose"" + 0.025*""worth"" + 0.024*""bad"""
6,phone_connection,"connection between headset and phone, signal range, reconnection etc","0.197*""phone"" + 0.045*""range"" + 0.040*""connect"" + 0.040*""connection"" + 0.030*""foot"" + 0.026*""walk"" + 0.025*""call"" + 0.024*""lg"" + 0.024*""pocket"" + 0.022*""cell"""
7,fit_ear,"fit on into/ear, due to e.g. earbud depth, cover, ear hook shape, ear wires","0.340*""ear"" + 0.100*""fit"" + 0.048*""piece"" + 0.041*""small"" + 0.029*""stay"" + 0.028*""size"" + 0.028*""bud"" + 0.025*""fall"" + 0.024*""hook"" + 0.012*""loop"""
8,great_overall,"highly satisfied overall, specially good quality for the price","0.227*""great"" + 0.100*""love"" + 0.062*""work"" + 0.057*""recommend"" + 0.052*""easy"" + 0.030*""comfortable"" + 0.025*""highly"" + 0.024*""purchase"" + 0.021*""blue"" + 0.020*""awesome"""
9,sound_quality,"sound quality, sometimes with detailed evaluation, bass","0.039*""quality"" + 0.032*""bass"" + 0.021*""high"" + 0.021*""wireless"" + 0.019*""price"" + 0.018*""set"" + 0.018*""review"" + 0.016*""range"" + 0.015*""provide"" + 0.015*""comfort"""
13,charging,"everything related to charging the headset: cables, charging speed, through car-charger, on-the-go charger","0.094*""charge"" + 0.045*""usb"" + 0.041*""charger"" + 0.040*""cable"" + 0.032*""plug"" + 0.029*""case"" + 0.028*""include"" + 0.028*""light"" + 0.017*""adapter"" + 0.016*""small"""
14,audio_performance,"experience (not just soundwise) listening to music, audiobooks, video","0.155*""music"" + 0.089*""listen"" + 0.046*""audio"" + 0.039*""phone"" + 0.030*""stereo"" + 0.025*""pair"" + 0.025*""play"" + 0.024*""call"" + 0.023*""quality"" + 0.020*""device"""
16,voice_command,Quality of voice command functionality/app for making calls and answering phones,"0.120*""call"" + 0.090*""voice"" + 0.070*""phone"" + 0.037*""feature"" + 0.029*""answer"" + 0.024*""button"" + 0.021*""app"" + 0.021*""command"" + 0.014*""number"" + 0.012*""turn"""
17,transaction_experience,"Customer service experience related to shipping, return, replacement","0.046*""product"" + 0.032*""review"" + 0.031*""purchase"" + 0.030*""update"" + 0.029*""return"" + 0.027*""amazon"" + 0.026*""month"" + 0.025*""order"" + 0.024*""item"" + 0.023*""back"""
18,active_lifestyle,"Usability in a active/sports setting, such as during running and gym workout","0.071*""earbud"" + 0.051*""run"" + 0.036*""cord"" + 0.033*""wire"" + 0.030*""neck"" + 0.026*""gym"" + 0.020*""earphone"" + 0.018*""sweat"" + 0.018*""bud"" + 0.015*""stay"""
19,battery,"Quality of battery e.g. talk time on full charge, battery indicator, deteriation over time","0.170*""battery"" + 0.103*""hour"" + 0.085*""life"" + 0.073*""time"" + 0.071*""day"" + 0.064*""charge"" + 0.040*""long"" + 0.025*""talk"" + 0.018*""low"" + 0.016*""minute"""
