rev_length_deciles,gt_prob0,gt_prob1,gt_prob2,gt_prob3,gt_prob4,gt_prob5,gt_prob6,gt_prob7,gt_prob8,gt_prob9,gt_prob10,gt_prob11,gt_prob12,gt_prob13,gt_prob14,gt_prob15,gt_prob16,gt_prob17,gt_prob18,gt_prob19
"(0.999, 12.0]",6.0,2.0,4.0,25.0,11.0,35.0,4.0,17.0,83.0,1.0,3.0,4.0,0.0,4.0,8.0,1.0,4.0,22.0,10.0,14.0
"(12.0, 17.0]",4.0,7.0,11.0,34.0,16.0,40.0,10.0,37.0,106.0,3.0,15.0,4.0,4.0,14.0,13.0,2.0,10.0,42.0,12.0,22.0
"(17.0, 23.0]",13.0,18.0,27.0,46.0,27.0,43.0,19.0,49.0,95.0,9.0,18.0,12.0,6.0,13.0,25.0,9.0,13.0,52.0,26.0,39.0
"(23.0, 31.0]",23.0,24.0,23.0,64.0,29.0,48.0,40.0,59.0,78.0,22.0,24.0,10.0,14.0,21.0,55.0,8.0,34.0,55.0,33.0,47.0
"(31.0, 41.0]",26.0,32.0,40.0,64.0,35.0,60.0,50.0,78.0,66.0,16.0,30.0,25.0,11.0,25.0,65.0,13.0,26.0,58.0,39.0,64.0
"(41.0, 55.0]",33.0,28.0,43.0,84.0,51.0,51.0,59.0,81.0,52.0,34.0,37.0,30.0,28.0,46.0,76.0,21.0,54.0,66.0,64.0,66.0
"(55.0, 75.0]",58.0,37.0,41.0,80.0,54.0,58.0,66.0,112.0,54.0,35.0,57.0,29.0,52.0,58.0,68.0,36.0,69.0,79.0,106.0,86.0
"(75.0, 108.0]",77.0,53.0,54.0,89.0,64.0,38.0,80.0,105.0,34.0,70.0,66.0,50.0,74.0,81.0,84.0,66.0,69.0,72.0,150.0,86.0
"(108.0, 166.0]",106.0,55.0,66.0,81.0,53.0,42.0,70.0,110.0,14.0,102.0,77.0,56.0,88.0,117.0,98.0,57.0,99.0,71.0,140.0,85.0
"(166.0, 1307.0]",178.0,70.0,83.0,80.0,33.0,24.0,68.0,95.0,3.0,155.0,99.0,73.0,143.0,181.0,82.0,64.0,172.0,56.0,177.0,79.0
